open_time,open,high,low,close,volume,close_time,quote_volume,num_trades,taker_base_vol,taker_quote_vol,ignore
2019-02-17,122.67,135.61,122.43,133.75,614788.60078,2019-02-17 23:59:59.999,78958054.9589805,162769,293673.43938000,37707750.00251470,0
2019-02-18,133.77,148.3,132.42,145.69,1079830.1502,2019-02-18 23:59:59.999,152756654.6454775,299772,549759.99454000,77775317.69332150,0
2019-02-19,145.69,150.0,142.36,143.44,747968.90445,2019-02-19 23:59:59.999,109645050.4660972,232384,402160.07677000,58949819.48809890,0
2019-02-20,143.45,149.52,139.6,148.44,614303.61007,2019-02-20 23:59:59.999,89136482.3716519,191505,315381.09329000,45774901.21738340,0
2019-02-21,148.42,149.61,142.7,145.69,447364.40873,2019-02-21 23:59:59.999,65199779.5124385,148898,224983.85218000,32795328.64392740,0
2019-02-22,145.68,148.85,143.85,147.36,366251.18542,2019-02-22 23:59:59.999,53771600.8025665,129247,190056.54144000,27900776.69668980,0
2019-02-23,147.4,159.6,145.78,157.79,588183.72896,2019-02-23 23:59:59.999,89997516.9234365,172084,319153.58988000,48851602.98933180,0
2019-02-24,157.75,166.0,131.7,132.1,1260506.80672,2019-02-24 23:59:59.999,186688063.414179,351943,631974.74429000,93581136.39467370,0
2019-02-25,132.1,141.55,131.89,137.87,801147.09543,2019-02-25 23:59:59.999,110348892.9700245,243536,411499.33688000,56650244.30991570,0
2019-02-26,137.88,138.41,133.72,136.22,432944.17033,2019-02-26 23:59:59.999,58979934.7160016,145787,228006.72087000,31058407.07986230,0
2019-02-27,136.22,140.29,126.84,135.02,567202.61035,2019-02-27 23:59:59.999,76519497.9080148,158709,272367.46964000,36764305.12813010,0
2019-02-28,135.03,139.0,132.1,135.34,579327.31749,2019-02-28 23:59:59.999,78861797.5593921,183737,299413.85729000,40768867.78520360,0
2019-03-01,135.32,137.95,134.9,135.32,302632.02831,2019-03-01 23:59:59.999,41198722.5798789,103403,172468.84876000,23485005.19557060,0
2019-03-02,135.32,136.12,130.03,132.56,297005.28093,2019-03-02 23:59:59.999,39467507.6857296,113241,155921.86934000,20724567.87649050,0
2019-03-03,132.54,134.6,128.01,130.6,222453.2859,2019-03-03 23:59:59.999,29447917.2382588,86648,114067.58966000,15112492.06673550,0
2019-03-04,130.6,131.11,122.6,125.65,403947.79445,2019-03-04 23:59:59.999,51060349.7665833,140132,203832.41182000,25770060.65397540,0
2019-03-05,125.68,137.84,125.19,136.72,512631.23178,2019-03-05 23:59:59.999,67740644.3311417,155818,272171.77962000,35984586.20476150,0
2019-03-06,136.71,140.29,133.33,137.4,428826.87415,2019-03-06 23:59:59.999,58701328.649431,136000,218466.67905000,29915836.73393930,0
